strategies,memory,threshold,distribution,choice,crosses,std
13,5,6000.0,uniform,mse,False,2336.337098964959
18,6,6000.0,uniform,mse,False,1834.1953466302325
57,4,6000.0,uniform,choice,False,3496.447265210788
47,5,6000.0,uniform,mse,False,2996.1247229713254
55,9,6000.0,uniform,mse,False,1458.2343050415457
25,7,6000.0,uniform,mse,False,2693.1933839960325
56,9,6000.0,uniform,mse,False,2270.1340775381527
45,3,6000.0,uniform,choice,False,3243.637684082487
60,6,6000.0,uniform,mse,False,4346.819827690124
40,6,6000.0,uniform,mse,False,4170.909543780589
5,3,6000.0,uniform,choice,False,1611.5
34,6,6000.0,uniform,mse,False,4248.762606924515
8,5,6000.0,uniform,mse,False,1252.4197769118787
34,3,6000.0,uniform,choice,False,2919.343842783854
24,4,6000.0,uniform,choice,False,3272.5500831003333
30,7,6000.0,uniform,mse,False,2806.570003117685
60,3,6000.0,uniform,choice,False,3107.791906096674
14,5,6000.0,uniform,mse,False,2617.195817205889
51,5,6000.0,uniform,mse,False,2981.0882255310726
19,6,6000.0,uniform,mse,False,3428.247320424826
37,6,6000.0,uniform,mse,False,4327.657408621898
52,8,6000.0,uniform,mse,False,2716.834399738048
28,4,6000.0,uniform,choice,False,3325.656617030688
54,10,6000.0,uniform,mse,False,2237.6137601471796
44,6,6000.0,uniform,mse,False,4246.448620153081
57,9,6000.0,uniform,mse,False,1929.3234408983892
54,5,6000.0,uniform,choice,False,3356.2983813123647
21,3,6000.0,uniform,choice,False,2551.3882518346754
26,7,6000.0,uniform,mse,False,2721.610185166127
58,7,6000.0,uniform,mse,False,3416.3131203682133
9,5,6000.0,uniform,mse,False,1625.1426572458186
49,3,6000.0,uniform,choice,False,3289.5057445762272
35,6,6000.0,uniform,mse,False,3156.487542570064
12,3,6000.0,uniform,choice,False,2642.8837378136786
41,6,6000.0,uniform,mse,False,4430.832537976564
15,5,6000.0,uniform,mse,False,3232.6782021104423
31,7,6000.0,uniform,mse,False,2991.3570817272885
38,3,6000.0,uniform,choice,False,3047.5479651680625
20,6,6000.0,uniform,mse,False,2770.9313857257453
56,5,6000.0,uniform,choice,False,3379.7080380411558
53,4,6000.0,uniform,choice,False,3483.7943078775475
38,6,6000.0,uniform,mse,False,4359.394019769262
48,6,6000.0,uniform,mse,False,4303.110437857713
55,10,6000.0,uniform,mse,False,1993.9620206011948
42,3,6000.0,uniform,choice,False,3137.068493036134
53,8,6000.0,uniform,mse,False,2381.036592830946
56,10,6000.0,uniform,mse,False,1970.9942867497105
