strategies,memory,threshold,distribution,choice,crosses,std
29,8,6000.0,uniform,mse,False,1694.1336292040248
95,8,6000.0,uniform,mse,False,3717.9108888729434
5,11,6000.0,uniform,mse,False,35.868113973277154
62,11,6000.0,uniform,mse,False,1473.0181159782117
56,8,6000.0,uniform,mse,False,2371.9130459610024
83,8,6000.0,uniform,mse,False,2546.3385196002514
44,8,6000.0,uniform,mse,False,2424.214887834822
29,8,6000.0,uniform,mse,False,2078.2241164994693
5,11,6000.0,uniform,mse,False,34.967985358038575
95,8,6000.0,uniform,mse,False,2254.4071720964694
62,11,6000.0,uniform,mse,False,1619.2338248690335
56,8,6000.0,uniform,mse,False,1633.1222686620863
44,8,6000.0,uniform,mse,False,2015.9145021552872
83,8,6000.0,uniform,mse,False,3570.8608132493764
29,8,6000.0,uniform,mse,False,2026.4578579383287
5,11,6000.0,uniform,mse,False,14.10969879196576
98,8,6000.0,uniform,mse,False,3139.185709447595
62,11,6000.0,uniform,mse,False,1475.860037401921
59,8,6000.0,uniform,mse,False,3375.885304982976
44,8,6000.0,uniform,mse,False,1877.6200519806982
17,11,6000.0,uniform,mse,False,244.93184684724037
83,8,6000.0,uniform,mse,False,3800.9215777229606
5,11,6000.0,uniform,mse,False,46.69957173251163
98,8,6000.0,uniform,mse,False,3360.5164922077083
17,11,6000.0,uniform,mse,False,207.75026931390485
65,11,6000.0,uniform,mse,False,1451.496110914528
44,8,6000.0,uniform,mse,False,2239.393563981106
59,8,6000.0,uniform,mse,False,2328.564804681201
83,8,6000.0,uniform,mse,False,2845.6973033687195
5,11,6000.0,uniform,mse,False,44.50672308764149
17,11,6000.0,uniform,mse,False,315.2059269747319
98,8,6000.0,uniform,mse,False,3846.8786528820997
44,8,6000.0,uniform,mse,False,3336.4236795706865
65,11,6000.0,uniform,mse,False,2089.1521725331545
59,8,6000.0,uniform,mse,False,2446.893724623119
8,11,6000.0,uniform,mse,False,73.85201419054188
83,8,6000.0,uniform,mse,False,2779.641381545468
17,11,6000.0,uniform,mse,False,260.2407969554351
32,11,6000.0,uniform,mse,False,1389.5198589440886
8,11,6000.0,uniform,mse,False,58.710166070281225
98,8,6000.0,uniform,mse,False,3862.3400981270406
59,8,6000.0,uniform,mse,False,2550.342987207799
65,11,6000.0,uniform,mse,False,1488.8627618420712
86,8,6000.0,uniform,mse,False,2479.976276015559
17,11,6000.0,uniform,mse,False,361.9246601158865
8,11,6000.0,uniform,mse,False,86.44945112607714
32,11,6000.0,uniform,mse,False,943.8463114299913
